iter	Passed	Remaining
0	137	137142
1	138	69018
2	139	46204
3	139	34787
4	140	27941
5	141	23381
6	141	20138
7	142	17713
8	143	15814
9	144	14289
10	145	13043
11	145	12002
12	146	11119
13	147	10362
14	147	9710
15	148	9145
16	149	8643
17	150	8203
18	151	7802
19	151	7440
20	152	7114
21	153	6815
22	154	6546
23	154	6298
24	155	6071
25	156	5860
26	157	5663
27	157	5481
28	158	5309
29	159	5151
30	160	5002
31	160	4862
32	161	4729
33	162	4607
34	162	4493
35	163	4383
36	164	4282
37	165	4182
38	165	4088
39	166	4000
40	167	3916
41	168	3835
42	168	3759
43	169	3687
44	170	3618
45	171	3551
46	171	3486
47	172	3425
48	173	3365
49	174	3308
50	174	3253
51	175	3201
52	176	3150
53	177	3101
54	177	3056
55	178	3014
56	179	2973
57	180	2934
58	181	2894
59	182	2855
60	183	2817
61	183	2780
62	184	2745
63	185	2710
64	186	2675
65	186	2642
66	187	2610
67	187	2574
68	188	2544
69	189	2514
70	190	2486
71	190	2458
72	191	2431
73	192	2408
74	193	2383
75	194	2358
76	194	2334
77	195	2311
78	196	2288
79	197	2266
80	197	2243
81	198	2223
82	199	2203
83	200	2183
84	200	2160
85	201	2142
86	202	2121
87	202	2102
88	203	2085
89	204	2068
90	205	2050
91	206	2034
92	207	2019
93	207	2004
94	208	1987
95	209	1972
96	210	1956
97	210	1941
98	211	1927
99	212	1912
100	213	1898
101	213	1882
102	214	1869
103	215	1857
104	216	1844
105	217	1832
106	218	1819
107	218	1806
108	219	1794
109	220	1782
110	221	1770
111	221	1758
112	222	1746
113	223	1735
114	223	1723
115	224	1712
116	225	1701
117	226	1690
118	226	1679
119	227	1669
120	228	1659
121	229	1649
122	229	1637
123	230	1627
124	231	1618
125	231	1608
126	232	1598
127	232	1587
128	233	1578
129	234	1569
130	235	1560
131	236	1552
132	236	1544
133	237	1536
134	238	1527
135	239	1519
136	239	1511
137	240	1502
138	241	1493
139	241	1485
140	242	1477
141	243	1470
142	244	1462
143	244	1454
144	245	1447
145	246	1439
146	246	1432
147	247	1425
148	248	1418
149	249	1412
150	250	1406
151	250	1400
152	251	1394
153	252	1388
154	253	1382
155	254	1376
156	255	1369
157	255	1363
158	256	1357
159	257	1350
160	258	1344
161	258	1339
162	259	1333
163	260	1327
164	261	1321
165	261	1315
166	262	1310
167	263	1304
168	263	1297
169	264	1292
170	265	1287
171	266	1283
172	267	1278
173	268	1272
174	268	1267
175	269	1262
176	270	1257
177	271	1252
178	271	1247
179	272	1242
180	273	1236
181	273	1231
182	274	1226
183	275	1222
184	276	1217
185	277	1213
186	278	1208
187	278	1203
188	279	1199
189	280	1195
190	281	1190
191	281	1186
192	282	1182
193	283	1177
194	284	1173
195	285	1169
196	285	1164
197	286	1159
198	286	1154
199	287	1150
200	288	1145
201	288	1141
202	289	1137
203	290	1132
204	290	1128
205	291	1123
206	292	1119
207	292	1114
208	293	1110
209	294	1106
210	294	1101
211	295	1097
212	295	1093
213	296	1089
214	297	1084
215	297	1080
216	298	1076
217	298	1072
218	299	1068
219	300	1063
220	300	1059
221	301	1055
222	301	1051
223	302	1048
224	303	1044
225	303	1040
226	304	1036
227	304	1032
228	305	1028
229	306	1026
230	307	1022
231	308	1019
232	308	1016
233	309	1013
234	310	1010
235	311	1007
236	311	1004
237	312	1000
238	313	997
239	313	993
240	314	990
241	314	986
242	315	983
243	316	979
244	316	976
